,Accuracy,Precision_macro,Recall_macro,F1_macro,Precision_weighted,Recall_weighted,F1_weighted,ROC_AUC_macro
BiLSTM,0.8983297022512708,0.5245356795822615,0.544874517648923,0.5344115642314131,0.8942497645556408,0.8983297022512708,0.8961722646369166,0.9656044597734669
LSTM,0.9026870007262164,0.5303112260307229,0.5326361454182132,0.5308769338978819,0.8951572075316854,0.9026870007262164,0.8987679352858452,0.9712017651690175
RNN,0.8721859114015976,0.3944161980231119,0.4326688105518368,0.4114336354843847,0.8512662180254836,0.8721859114015976,0.8607866232195222,0.9486510307714919
