true_label,predicted_label,count
2,3,44
3,2,19
3,0,18
0,3,10
2,0,8
3,4,6
1,2,6
4,0,4
0,2,4
2,1,4
2,4,4
4,3,4
4,2,3
6,4,2
5,4,2
0,6,1
4,6,1
5,2,1
6,3,1
