N-gram,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Inference Time (s)
Unigram,0.7690631808278867,0.3942631042895715,0.433498462203978,0.383757251778894,0.7841282267130395,0.8623841980006546
Bigram,0.8525780682643428,0.6262870287943707,0.5633298335008539,0.5847083511441742,0.8519403804167118,3.237813763998929
Trigram,0.8474945533769063,0.6142090280021314,0.5397328977581869,0.5520983160492218,0.8437584639636889,7.4709172650000255
