ngram_order,split,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
1,validation,0.7690631808278867,0.3942631042895715,0.43349846220397803,0.383757251778894,0.8140963027061282,0.7690631808278867,0.7841282267130395
1,test,0.7806826434277415,0.32231632230439716,0.3839821967123588,0.3410399924995821,0.8138842425571905,0.7806826434277415,0.7929848521242814
2,validation,0.8525780682643428,0.6262870287943707,0.5633298335008539,0.5847083511441742,0.8559373996584377,0.8525780682643428,0.8519403804167118
2,test,0.8569353667392883,0.6422421206461231,0.5771925110073426,0.5937660480849052,0.8661754508732188,0.8569353667392883,0.8595609825869368
3,validation,0.8474945533769063,0.6142090280021314,0.5397328977581869,0.5520983160492218,0.8494040858701666,0.8474945533769063,0.8437584639636889
3,test,0.8387799564270153,0.6148432943108586,0.538980511490808,0.5481225728271146,0.8432535419323525,0.8387799564270153,0.8360745452672829
