feature_type,model,train_time_sec,val_predict_time_sec,test_predict_time_sec,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,val_precision_weighted,val_recall_weighted,val_f1_weighted,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_precision_weighted,test_recall_weighted,test_f1_weighted
tfidf,linear_svm,0.5939035415649414,0.0021309852600097656,0.0019199848175048828,0.9077705156136529,0.757213328551982,0.7310254391209181,0.7375435605867764,0.911299557527032,0.9077705156136529,0.9091214207973752,0.896877269426289,0.7542450250879151,0.6774306620745743,0.6955966240997188,0.9051221048729304,0.896877269426289,0.8998565830051084
countvectorizer,xgboost,34.87084197998047,0.10362505912780762,0.10256528854370117,0.9128540305010894,0.7683534433105403,0.7042922609318082,0.7316130691419866,0.9071771943771693,0.9128540305010894,0.9086857751260287,0.888162672476398,0.6875058850332618,0.5620075908246046,0.6047922069892145,0.8768974344389577,0.888162672476398,0.8808451952275628
countvectorizer,logistic_regression,16.30505919456482,0.0045719146728515625,0.004282712936401367,0.9005083514887436,0.6837971768726209,0.714265691323072,0.6960229054341888,0.9078816832424917,0.9005083514887436,0.9033663402453493,0.8867102396514162,0.6986948106549435,0.7454451154799907,0.7180109595031362,0.8996551833018029,0.8867102396514162,0.8915940457747097
countvectorizer,linear_svm,2.2013943195343018,0.0016126632690429688,0.0012729167938232422,0.9005083514887436,0.7061154546518201,0.6607666595318019,0.6806416672009836,0.8991718647787993,0.9005083514887436,0.8994521309963577,0.8961510530137982,0.6717047942920086,0.6487007466084094,0.654570009935218,0.8956277169977671,0.8961510530137982,0.8953981637141389
tfidf,xgboost,128.76514673233032,0.09493565559387207,0.09260964393615723,0.9005083514887436,0.7413224405066794,0.5946604862076426,0.6502164800999949,0.8919982710852913,0.9005083514887436,0.8942830627465399,0.8939724037763254,0.753944210535292,0.5524987358676614,0.6155657805705882,0.884793548407615,0.8939724037763254,0.8865881747447383
tfidf,logistic_regression,4.369494676589966,0.0063855648040771484,0.010353565216064453,0.8286129266521424,0.5473128855522151,0.7247483141098053,0.6112235474983817,0.8935406963578222,0.8286129266521424,0.8489357659969348,0.8242556281771968,0.6727691629572645,0.7984404249115757,0.7145590799194005,0.8912172317824925,0.8242556281771968,0.8463673930805917
countvectorizer,random_forest,33.13061547279358,0.3168497085571289,0.3050870895385742,0.8583877995642701,0.5843179831884884,0.366624699386868,0.422163635945049,0.8379594194914098,0.8583877995642701,0.8249703929320591,0.8656499636891793,0.5444733263670303,0.38717044543697127,0.4251836972307313,0.8344632617313686,0.8656499636891793,0.8307298764464969
countvectorizer,naive_bayes,0.011852264404296875,0.0014810562133789062,0.0013301372528076172,0.7966594045025418,0.36953933128280775,0.32417525044100914,0.31768371201892054,0.7998479500003025,0.7966594045025418,0.7914721369177136,0.8097312999273784,0.3448663435590085,0.33431979132884326,0.3186606269220876,0.8062263458479696,0.8097312999273784,0.8039062615011525
tfidf,random_forest,27.014100790023804,0.3147914409637451,0.28809309005737305,0.8344226579520697,0.5905550916374616,0.2645933453992459,0.3116638286950372,0.819977555244042,0.8344226579520697,0.7859845336379961,0.8416848220769789,0.5477861830909325,0.2838985671776134,0.3365985281959234,0.808932750683471,0.8416848220769789,0.7947675097505323
tfidf,naive_bayes,0.010864734649658203,0.0014312267303466797,0.001306295394897461,0.7966594045025418,0.17124101281650517,0.14513704976398403,0.13181615294963672,0.6679436634042547,0.7966594045025418,0.7100552610225496,0.7966594045025418,0.15006265664160404,0.14503260744268864,0.13182937075156478,0.6580842538444878,0.7966594045025418,0.711199160441997
