class,feature,coefficient,direction
0,breast sparse,1.9775650933797755,positive
0,cm the,1.9439635766257937,positive
0,obscured,1.881258463631677,positive
0,focal,1.7381556827455116,positive
0,quadrant sparse,1.4364541999639528,positive
0,cm intramammary,1.4314683572080509,positive
0,focal asymmetry,1.3433287669523415,positive
0,retroareolar,1.3425481759439304,positive
0,observed sparse,1.29509208423833,positive
0,breast retroareolar,1.2426231696737184,positive
0,punctate with,1.2345123693815434,positive
0,overlap measuring,1.2135225189705547,positive
0,calcifications at,1.2130632147849782,positive
0,obscured oval,1.2026055024073483,positive
0,stable intramammary,1.1930262468789259,positive
0,isodense,1.1660286866048577,positive
0,asymmetry at,1.1638320505562756,positive
0,defined,1.125312280915729,positive
0,highlighting an,1.1092546658804199,positive
0,partially defined,1.0899910544517823,positive
0,ultrasound,-2.860917823126726,negative
0,stable,-2.344308413815379,negative
0,since,-1.7389251057239004,negative
0,stable since,-1.7169450402946522,negative
0,calcifications located,-1.5793664319596634,negative
0,on,-1.5120084889813938,negative
0,suggesting,-1.4261405367914874,negative
0,on ultrasound,-1.4089589930168003,negative
0,performed on,-1.2697841157944008,negative
0,punctate calcifications,-1.2019594852725277,negative
0,corresponds to,-1.1653017854276955,negative
0,corresponds,-1.163245026596958,negative
0,which on,-1.1492613948051476,negative
0,skin,-1.0727783311135426,negative
0,observed intramammary,-1.0283434426999007,negative
0,spiculated,-0.9755233026198668,negative
0,to,-0.9572384712350885,negative
0,changes were,-0.9489288717124252,negative
0,ultrasound performed,-0.930988602344752,negative
0,calcifications measuring,-0.9293533273357419,negative
1,nodules no,2.929717003298704,positive
1,breasts no,2.73104707596114,positive
1,mammography no,2.4885657582476393,positive
1,densities no,2.4321846133234137,positive
1,densities right,1.858291304957633,positive
1,observed the,1.7639039160159067,positive
1,lumps no,1.57844312398163,positive
1,tissue no,1.2376989343886435,positive
1,method no,1.2338072106154456,positive
1,node no,1.1792008652044255,positive
1,findings focal,1.1545689470463065,positive
1,breasts findings,1.1504966444306541,positive
1,density no,1.093294641975657,positive
1,on both,0.9612157457121423,positive
1,right superolateral,0.9450288631326752,positive
1,anteropectoral breast,0.9151883622745514,positive
1,anteropectoral,0.9151883622745514,positive
1,nodules anteropectoral,0.9151883622745514,positive
1,tissue there,0.9082062460769006,positive
1,right mammogramclinical,0.897252202656649,positive
1,calcifications,-4.415808081002121,negative
1,calcifications no,-4.278560393486369,negative
1,sparse calcifications,-4.2637952794657465,negative
1,sparse,-4.086297585012629,negative
1,calcifications the,-1.7623588678712003,negative
1,tissue sparse,-1.7076962408237142,negative
1,es benignas,-1.6547773671497663,negative
1,benignas,-1.6547773671497663,negative
1,benignas esparsas,-1.6547773671497663,negative
1,observed sparse,-1.6469831159873312,negative
1,mammography sparse,-1.5572259537361417,negative
1,breasts sparse,-1.43471088675122,negative
1,esparsas,-1.431421914772151,negative
1,calcifica,-1.3312695882182322,negative
1,calcifica es,-1.3037742894398259,negative
1,densities sparse,-1.270995472980059,negative
1,nodules sparse,-1.2561176325659618,negative
1,intramammary lymph,-1.244339777108283,negative
1,intramammary,-1.2423852679150478,negative
1,observed right,-1.0025737455314438,negative
2,calcifications no,3.657638874336607,positive
2,sparse calcifications,3.3773636380632603,positive
2,sparse,3.1201349662856686,positive
2,calcifications,2.784153326933623,positive
2,mammography sparse,1.8284899479024672,positive
2,cyst,1.7667248036497942,positive
2,observed sparse,1.5352277877006681,positive
2,breasts sparse,1.4930755899126575,positive
2,fibroadenoma,1.4537336901867248,positive
2,nodules sparse,1.4077531862968484,positive
2,tissue sparse,1.374363198152383,positive
2,simple,1.3543182194084522,positive
2,years,1.3336619034380117,positive
2,since,1.2434851520209163,positive
2,densities sparse,1.2384608102707717,positive
2,stable,1.2297639001496399,positive
2,cystic on,1.1976979551250004,positive
2,to simple,1.1925300461244928,positive
2,years sparse,1.1456673467502236,positive
2,cm and,1.1439924565541797,positive
2,breasts no,-2.557539621189205,negative
2,nodules no,-2.535843911971035,negative
2,densities no,-2.37976333796587,negative
2,mammography no,-1.7420378540026058,negative
2,calcifications grouped,-1.6178442369241441,negative
2,solid,-1.3730663221881791,negative
2,lumps no,-1.3161925596206097,negative
2,cm,-1.2743967401262644,negative
2,punctate,-1.1410010308428695,negative
2,grouped in,-1.115348196319512,negative
2,months,-1.106416852076043,negative
2,cm the,-1.0905877870731555,negative
2,asymmetry located,-1.0897744709449126,negative
2,measuring,-1.0872564002288208,negative
2,circumscribed,-1.0753787837384041,negative
2,cm no,-1.0562505573364527,negative
2,asymmetry,-1.0492251454413255,negative
2,the,-1.0436296627850181,negative
