class,feature,coefficient,direction,feature_type
2,calcifications grouped,-1.6178442369241441,negative,bigram
2,solid,-1.3730663221881791,negative,unigram
2,lumps no,-1.3161925596206097,negative,bigram
2,cm,-1.2743967401262644,negative,unigram
2,punctate,-1.1410010308428695,negative,unigram
2,grouped in,-1.115348196319512,negative,bigram
2,months,-1.106416852076043,negative,unigram
2,cm the,-1.0905877870731555,negative,bigram
2,asymmetry located,-1.0897744709449126,negative,bigram
2,measuring,-1.0872564002288208,negative,unigram
2,circumscribed,-1.0753787837384041,negative,unigram
2,cm no,-1.0562505573364527,negative,bigram
2,asymmetry,-1.0492251454413255,negative,unigram
2,the,-1.0436296627850181,negative,unigram
2,correspondence,-1.0393990199215586,negative,unigram
2,of calcifications,-1.0360812736513505,negative,bigram
3,punctate,2.512241885983868,positive,unigram
3,circumscribed,2.158437524741329,positive,unigram
3,ultrasound,2.0427504343365355,positive,unigram
3,correspondence,1.8195274297846429,positive,unigram
3,months,1.742651570365596,positive,unigram
3,punctate calcifications,1.7204765727105764,positive,bigram
3,year,1.690269628757144,positive,unigram
3,asymmetry located,1.621802033621945,positive,bigram
3,for months,1.60206486684178,positive,bigram
3,year sparse,1.600496103722746,positive,bigram
3,margins retroareolar,1.565868786213551,positive,bigram
3,asymmetry,1.5098585065584509,positive,unigram
3,previous examination,1.4666441979920775,positive,bigram
3,regional,1.4414039915211014,positive,unigram
3,circumscribed oval,1.3810814460972023,positive,bigram
3,isodense nodule,1.3775263686211343,positive,bigram
3,remains after,1.3652031722614664,positive,bigram
3,control,1.3473792209486293,positive,unigram
3,compression and,1.3249327158296527,positive,bigram
3,parallel,1.311600754083409,positive,unigram
3,of nodules,-1.5845260145188558,negative,bigram
3,years,-1.496177196786359,negative,unigram
3,cyst,-1.4184988691980098,negative,unigram
3,cystic,-1.2526714670418548,negative,unigram
3,years sparse,-1.1980095909997455,negative,bigram
3,residual fibroglandular,-1.1103429994219112,negative,bigram
3,fibroadenoma,-1.0965459966975508,negative,unigram
3,cysts sparse,-1.0881950724982783,negative,bigram
3,obscured contours,-1.0543452381963372,negative,bigram
3,obscured oval,-1.0493944516135536,negative,bigram
3,superior medial,-1.044226309349061,negative,bigram
3,characterized as,-1.0427199227764163,negative,bigram
3,linear,-1.0405765768058202,negative,unigram
3,exam,-1.0348763179519493,negative,unigram
3,report,-1.0188774305555535,negative,unigram
3,residual,-1.0103690578454174,negative,unigram
